,Nome,Partido,Estado
415,Osmar Terra,MDB,Rio Grande do Sul
416,Paulo Pimenta,PT,Rio Grande do Sul
417,Pedro Westphalen,PP,Rio Grande do Sul
418,Pompeo de Mattos,PDT,Rio Grande do Sul
419,Sanderson Federal,PSL,Rio Grande do Sul
421,Coronel Chrisóstomo,PSL,Rondônia
422,Dr. Mauro Nazif,PSB,Rondônia
423,Expedito Netto,PSD,Rondônia
424,Jaqueline Cassol,PP,Rondônia
425,Léo Moraes,PODE,Rondônia
426,Lucio Mosquini,MDB,Rondônia
427,Mariana Carvalho,PSDB,Rondônia
428,Silvia Cristina,PDT,Rondônia
430,Dr. Hiran Gonçalves,PP,Roraima
431,Edio Lopes,PR,Roraima
432,Haroldo Cathedral,PSD,Roraima
433,Jhonatan de Jesus,PRB,Roraima
434,Joenia Wapichana,REDE,Roraima
435,Nicoletti,PSL,Roraima
436,Otaci,SD,Roraima
437,Shéridan,PSDB,Roraima
439,Angela Amin,PP,Santa Catarina
440,Carlos Chiodini,MDB,Santa Catarina
441,Carmen Zanotto,PPS,Santa Catarina
442,Caroline de Toni,PSL,Santa Catarina
443,Celso Maldaner,MDB,Santa Catarina
444,Coronel Armando,PSL,Santa Catarina
445,Daniel Freitas,PSL,Santa Catarina
446,Darci de Matos,PSD,Santa Catarina
447,Fabio Schiochet,PSL,Santa Catarina
448,Geovania de Sá,PSDB,Santa Catarina
449,Gilson Marques,NOVO,Santa Catarina
450,Hélio Costa,PRB,Santa Catarina
451,Peninha,MDB,Santa Catarina
452,Professor Pedro Uczai,PT,Santa Catarina
453,Ricardo Guidi,PSD,Santa Catarina
454,Rodrigo Coelho,PSB,Santa Catarina
456,Abou Anni,PSL,São Paulo
457,Adriana Ventura,NOVO,São Paulo
458,Alencar Santana,PT,São Paulo
459,Alex Manente,PPS,São Paulo
460,Alexandre Frota,PSL,São Paulo
461,Alexandre Leite,DEM,São Paulo
462,Alexandre Padilha,PT,São Paulo
463,Alexis,NOVO,São Paulo
464,Arlindo Chinaglia,PT,São Paulo
465,Arnaldo Jardim,PPS,São Paulo
466,Baleia Rossi,MDB,São Paulo
467,Bruna Furlan,PSDB,São Paulo
468,Capitão Augusto,PR,São Paulo
469,Carla Zambelli,PSL,São Paulo
470,Carlos Sampaio,PSDB,São Paulo
471,Carlos Zarattini,PT,São Paulo
472,Celso Russomano,PRB,São Paulo
473,Cezinha de Madureira,PSD,São Paulo
474,Coronel Tadeu,PSL,São Paulo
475,David Soares,DEM,São Paulo
476,Eduardo Bolsonaro,PSL,São Paulo
477,Eduardo Cury,PSDB,São Paulo
478,Eli Corrêa Filho,DEM,São Paulo
479,Enrico Misasi,PV,São Paulo
480,Fausto Pinato,PP,São Paulo
481,General Peternelli,PSL,São Paulo
482,Geninho Zuliani,DEM,São Paulo
483,Gilberto Nascimento,PSC,São Paulo
484,Guiga Peixoto,PSL,São Paulo
485,Guilherme Mussi,PP,São Paulo
486,Herculano Passos,MDB,São Paulo
487,Ivan Valente,PSOL,São Paulo
488,Jefferson Campos,PSB,São Paulo
489,Joice Hasselmann,PSL,São Paulo
490,Junior Bozzella,PSL,São Paulo
491,Kim Kataguiri,DEM,São Paulo
492,Luiz Carlos Motta,PR,São Paulo
493,Luiz Philippe O. Bragança,PSL,São Paulo
494,Luiza Erundina,PSOL,São Paulo
495,Marcio Alvino,PR,São Paulo
496,Marco Bertaiolli,PSD,São Paulo
497,Marcos Pereira,PRB,São Paulo
498,Maria Rosas,PRB,São Paulo
499,Miguel Lombardi,PR,São Paulo
500,Milton Vieira,PRB,São Paulo
501,Nilto Tatto,PT,São Paulo
502,Orlando Silva,PC do B,São Paulo
503,Pastor Marco Feliciano,PODE,São Paulo
504,Paulinho da Força,SD,São Paulo
505,Paulo Freire Costa,PR,São Paulo
506,Paulo Teixeira,PT,São Paulo
507,Policial Katia Sastre,PR,São Paulo
508,Professor Luiz Flavio Gomes,PSB,São Paulo
